Marke;Strasse;Plz;Ort;Source
Atlas Bestattungen Coburg;                                    Glockenberg 18 ;96450;Coburg;https://aspetos.com/de/verzeichnis/bestatter
Atrium Bestattungen GmbH;                                    Landsberger Allee 8 ;10249;Berlin;https://aspetos.com/de/verzeichnis/bestatter
Aue Bestattungen;                                    Große Schulgasse 18-19 ;39116;Magdeburg;https://aspetos.com/de/verzeichnis/bestatter
Auschek Bestattungen e.K.;                                    Heinrichstraße 36 ;07545;Gera;https://aspetos.com/de/verzeichnis/bestatter
Bandle Bestattungen;                                    Gerberstr. 59 ;78050;Villingen-Schwenningen;https://aspetos.com/de/verzeichnis/bestatter
Baumbusch Bestattungen;                                    Zittenfeldener Str. 13 ;63936;Schneeberg;https://aspetos.com/de/verzeichnis/bestatter
Baur Bestattungen;                                    Ulmer Straße 18 ;89584;Ehingen;https://aspetos.com/de/verzeichnis/bestatter
BAYERNBESTATTUNG;                                    Spitalplatz 9 ;93413;Cham;https://aspetos.com/de/verzeichnis/bestatter
"Beerdigungsinstitut ""Pietät"" Leo Kraus";                                    Wermbachstr. 21 ;63739;Aschaffenburg;https://aspetos.com/de/verzeichnis/bestatter
Beerdigungsinstitut Berlin;                                    Albert-Kuntz-Straße 46 ;12627;Berlin Hellersdorf;https://aspetos.com/de/verzeichnis/bestatter
Beerdigungsinstitut Erich Kraus;                                    Schönbergweg 27 ;63741;Aschaffenburg;https://aspetos.com/de/verzeichnis/bestatter
Beerdigungsinstitut Erwin Jürs;                                    Niendorfer Marktplatz 8 ;22457;Hamburg;https://aspetos.com/de/verzeichnis/bestatter
Beerdigungsinstitut Hubert Laubach GmbH;                                    Nauwieserstr. 27 ;66111;Saarbrücken;https://aspetos.com/de/verzeichnis/bestatter
Beile Bestattungen;                                    Georg-Feuerstrein-Str. 2 ;97877;Wertheim;https://aspetos.com/de/verzeichnis/bestatter
Besser Bestatten;                                    Herbststr. 14 ;13409;Berlin;https://aspetos.com/de/verzeichnis/bestatter
Bestattugen Holzward;                                    Friedrich-Ebert Str.91 ;85055;Ingolstadt;https://aspetos.com/de/verzeichnis/bestatter
Bestattung Bonn-Beuel: Bestattungshaus Hebenstreit & Kentrup GmbH;                                    Konrad-Adenauer-Platz 25 ;53225;Bonn (Beuel);https://aspetos.com/de/verzeichnis/bestatter
Bestattung Bonn: Bestattungshaus Hebenstreit & Kentrup GmbH;                                    August-Bier-Straße 33 ;53129;Bonn;https://aspetos.com/de/verzeichnis/bestatter
